2166,"Orange-Newark-Elizabeth, Inc.",Coach USA,Elizabeth,NJ,us,http://www.coachusa.com,"349 First Street, Elizabeth, NJ, 7206",5443000,38802707
2168,Trans-Hudson Express,,Elizabeth,NJ,us,http://www.transhudson.com,"349 First Street, Elizabeth, NJ, 7206",5443000,27303732
2169,"Trans-Bridge Lines, Inc.",,Bethlehem,PA,us,http://www.transbridgelines.com,"2012 Industrial Drive, Bethlehem, PA, 18017",5443000,96900718
2171,"Private One of New York, LLC, dba: New York Airport Service",,Brooklyn,NY,us,http://www.nyairportservice.com,"15 Second Avenue, Brooklyn, NY, 11215",5443000,15212084
2172,"Centro of Oswego, Inc.",Centro of Oswego,Syracuse,NY,us,http://www.centro.org,"200 Cortland Avenue, Syracuse, NY, 13205-820",89591,1940915
2175,Private Transportation Corporation,,Brooklyn,NY,us,,"15 Second Avenue, Brooklyn, NY, 11215",2465326,4147454
2176,Kaser Bus Service,Kaser,Monsey,NY,us,,"15 Elyon Road, Monsey, NY, 10952",3316,
2177,"Adirondack Transit Lines, Inc,",Adirondack Trailways,Hurley,NY,us,http://www.trailwaysny.com,"499 Hurley Avenue, Hurley, NY, 12443",6508105,42782520
2178,Ulster County Area Transit,UCAT,Kingston,NY,us,http://www.co.ulster.ny.us/ucat,"1 Danny Circle, Kingston, NY, 12401",181670,2808229
2179,"Hendrick Hudson Bus Lines, Inc.",HHBL,Newburgh,NY,us,http://www.leprechaunlines.com,"100 Leprechaun Lane, Newburgh, NY, 12550",249175,2551704
2181,Roosevelt Island Operating Corporation of the State of New York,RIOC,Roosevelt,NY,us,http://www.rioc.com,"591 Main Street, Roosevelt, NY, 10044-9998",1000000,0
2182,Town of Highlands Dial-A-Bus,,Highland Falls,NY,us,,"254 Main Street, Highland Falls, NY, 10928",13000,17655
2183,Town of Monroe Dial-A-Bus,Monroe DAB,Monroe,NY,us,http://www.monroeny.org,"91 Mine Road, Monroe, NY, 10950",31407,91801
2185,"Centro of Oneida, Inc.",Centro of Oneida,Syracruse,NY,us,http://www.centro.org,"200 Cortland Avenue, Syracruse, NY, 13205-820",154159,3566885
2187,Village of Kiryas Joel,KJ,Monroe,NY,us,,", Monroe, NY, 10949",21000,339166
